feature,shap_importance,lime_importance,lime_percentage,shap_rank,lime_rank,avg_rank
Max_Temp_C <= -0.65,0.0,0.134123653735953,-339.5548285612625,8.0,1.0,4.5
-0.65 < Max_Temp_C <= 0.28,0.0,0.09126258565293345,-231.04538805993306,8.0,2.0,5.0
Min_Temp_C <= -0.70,0.0,0.06887332227203762,-174.36349581235294,8.0,3.0,5.5
-0.43 < Precipitation_mm <= -0.15,0.0,0.008633158776104561,-21.856180222568362,8.0,4.0,6.0
Precipitation_mm <= -0.44,0.0,0.002572567411522479,-6.512853341301793,8.0,5.0,6.5
Min_Temp_C > 0.81,0.0,0.0003149671859920655,-0.7973882746477148,8.0,6.0,7.0
Min_Temp_C,0.0,0.0,0.0,8.0,8.0,8.0
Max_Temp_C,0.0,0.0,0.0,8.0,8.0,8.0
Precipitation_mm,0.0,0.0,0.0,8.0,8.0,8.0
-0.44 < Precipitation_mm <= -0.43,0.0,-0.004931217617103392,12.484142102706357,8.0,10.0,9.0
0.27 < Min_Temp_C <= 0.81,0.0,-0.019418161858129772,49.16008800127587,8.0,11.0,9.5
Precipitation_mm > -0.15,0.0,-0.020946236404422156,53.02864568027125,8.0,12.0,10.0
-0.70 < Min_Temp_C <= 0.27,0.0,-0.0695599458301484,176.1017898273626,8.0,13.0,10.5
0.28 < Max_Temp_C <= 0.80,0.0,-0.09944429024951486,251.75864201810788,8.0,14.0,11.0
Max_Temp_C > 0.80,0.0,-0.13098025477936678,331.5968266423424,8.0,15.0,11.5
